Label,Dice_ET,Dice_WT,Dice_TC,Sensitivity_ET,Sensitivity_WT,Sensitivity_TC,Specificity_ET,Specificity_WT,Specificity_TC,Hausdorff95_ET,Hausdorff95_WT,Hausdorff95_TC
BraTS20_Training_269,0.0,0.79693,0.70717,0.0,0.92754,0.59808,0.99981,0.9984,0.99979,373.12866,89.54021,87.47914
BraTS20_Training_270,0.8682,0.88171,0.89095,0.9394,0.90286,0.95163,0.99847,0.99755,0.99858,4.58258,3.74166,10.63015
BraTS20_Training_271,0.0,0.85087,0.86149,0.0,0.9378,0.80494,1.0,0.99846,0.99983,68.05806,46.48925,3.60555
BraTS20_Training_272,0.0,0.92773,0.81734,0.0,0.89795,0.77875,0.99992,0.99915,0.99888,373.12866,4.12311,6.16441
BraTS20_Training_273,0.39252,0.88487,0.74838,0.79781,0.88107,0.65402,0.99968,0.99707,0.99881,37.3497,6.0,22.60309
BraTS20_Training_274,0.61488,0.78526,0.63658,0.48421,0.66404,0.47052,0.99908,0.99941,0.99984,7.81025,13.0,12.5698
BraTS20_Training_275,0.0,0.22909,0.02913,0.0,0.13513,0.01516,1.0,0.99983,0.99997,373.12866,47.92703,28.89896
BraTS20_Training_276,0.69956,0.83926,0.69899,0.89204,0.78373,0.84544,0.99981,0.99946,0.99974,3.07302,5.87777,8.06226
BraTS20_Training_277,0.31226,0.29529,0.21559,0.19412,0.17438,0.1219,0.99999,0.99998,1.0,10.24695,27.0,8.86808
BraTS20_Training_278,0.0,0.80808,0.385,0.0,0.88857,0.25448,0.99962,0.9962,0.99955,373.12866,19.44222,23.19483
BraTS20_Training_279,0.0,0.93049,0.9045,0.0,0.88169,0.86006,0.99987,0.99975,0.99936,373.12866,4.12311,4.47214
BraTS20_Training_280,0.35172,0.85899,0.0428,0.22142,0.93937,0.31961,1.0,0.99891,0.99874,4.3589,18.11764,18.46618
BraTS20_Training_281,0.0,0.87056,0.4684,0.0,0.86743,0.35428,0.99994,0.99796,0.99961,373.12866,14.17745,26.81044
BraTS20_Training_282,0.839,0.86725,0.57735,0.92502,0.96889,0.86541,0.99979,0.99744,0.9984,2.23607,8.24621,12.0
BraTS20_Training_283,0.3147,0.89454,0.31875,0.19415,0.87072,0.19767,0.99995,0.9996,0.99995,14.14214,3.74166,14.14214
BraTS20_Training_284,0.64978,0.91932,0.92983,0.605,0.87652,0.90878,0.9999,0.99932,0.99926,15.8414,5.65685,4.58258
BraTS20_Training_285,0.68034,0.77107,0.74535,0.57494,0.67389,0.61261,0.9999,0.99905,0.99971,5.91608,15.68439,9.27362
