Label,Dice_ET,Dice_WT,Dice_TC,Sensitivity_ET,Sensitivity_WT,Sensitivity_TC,Specificity_ET,Specificity_WT,Specificity_TC,Hausdorff95_ET,Hausdorff95_WT,Hausdorff95_TC
BraTS20_Training_308,0.74294,0.91912,0.73998,0.96308,0.87144,0.59339,0.9995,0.99942,0.99982,3.4641,5.83095,14.45683
BraTS20_Training_309,0.59747,0.84953,0.7898,0.68016,0.74304,0.66154,0.99987,0.99989,0.99984,18.0,7.28011,7.14143
BraTS20_Training_310,0.0,0.92343,0.82781,0.0,0.86372,0.7344,0.99998,0.99986,0.99958,373.12866,5.09902,6.40312
BraTS20_Training_311,0.86447,0.84769,0.64007,0.87407,0.80767,0.8066,0.99999,0.99967,0.99939,1.0,5.09902,7.07107
BraTS20_Training_312,0.0,0.90695,0.6483,0.0,0.94142,0.54364,0.99995,0.99757,0.99902,373.12866,4.69042,15.09967
BraTS20_Training_313,0.72957,0.94206,0.90898,0.8443,0.99339,0.91994,0.99995,0.99774,0.99902,2.39613,3.60555,3.31662
BraTS20_Training_314,0.81335,0.80658,0.55105,0.98007,0.80026,0.9531,0.99986,0.99944,0.99941,6.16441,5.91608,6.7082
BraTS20_Training_315,0.90411,0.92962,0.89955,0.90826,0.97812,0.97312,1.0,0.99951,0.99952,1.0,79.56758,5.0
BraTS20_Training_316,0.52525,0.86239,0.6459,0.96151,0.79133,0.53266,0.9997,0.99883,0.99877,17.0,5.09902,8.30662
BraTS20_Training_317,0.80918,0.86872,0.78117,0.96626,0.81341,0.9206,0.99982,0.99986,0.99968,2.23607,3.16228,3.60555
BraTS20_Training_318,0.72691,0.95631,0.84692,0.77844,0.93372,0.76386,0.99992,0.99954,0.99927,2.23607,2.82843,8.3666
BraTS20_Training_319,0.0,0.95452,0.9211,0.0,0.96231,0.89569,0.99996,0.99928,0.99954,373.12866,2.23607,4.12311
BraTS20_Training_320,0.83403,0.81762,0.86051,0.96016,0.72183,0.95402,0.99968,0.99982,0.9997,2.23607,13.63818,2.44949
BraTS20_Training_321,0.0,0.82095,0.60804,0.0,0.7381,0.5018,1.0,0.99956,0.99952,373.12866,6.63325,8.30662
BraTS20_Training_322,0.46465,0.93313,0.92535,0.38656,0.98905,0.89461,1.0,0.9987,0.99973,18.43093,5.0,3.0
BraTS20_Training_323,0.00381,0.91082,0.88844,0.00193,0.86771,0.85382,1.0,0.999,0.99919,27.49545,5.38516,5.19615
BraTS20_Training_324,1.0,0.79522,0.23338,1.0,0.6903,0.13215,1.0,0.99965,1.0,0.0,15.0,24.06242
BraTS20_Training_325,0.0,0.25058,0.05966,0.0,0.17533,0.03259,1.0,0.99957,0.99993,373.12866,40.41472,15.65248
BraTS20_Training_326,0.38943,0.88422,0.7229,0.95059,0.90452,0.57316,0.99961,0.99799,0.99982,18.05547,15.85242,12.20656
BraTS20_Training_327,0.8353,0.95092,0.86385,0.80668,0.9414,0.78306,0.99976,0.99919,0.99948,2.44949,7.0,6.0
BraTS20_Training_328,0.75981,0.91761,0.60521,0.98166,0.86383,0.4533,0.99993,0.9992,0.99903,5.09902,5.74456,11.7047
BraTS20_Training_329,0.0,0.89681,0.56814,0.0,0.85884,0.40173,1.0,0.9996,0.99994,373.12866,3.16228,13.34166
BraTS20_Training_330,0.0,0.9285,0.83582,0.0,0.9399,0.76057,1.0,0.99949,0.99978,373.12866,3.60555,4.58258
BraTS20_Training_331,0.84454,0.84564,0.43954,0.77735,0.95952,0.33661,0.99998,0.99826,0.99976,1.41421,4.47214,7.15188
BraTS20_Training_332,0.87255,0.94961,0.60692,0.94764,0.99403,0.8787,0.99995,0.99937,0.99973,1.41421,1.41421,22.93469
BraTS20_Training_333,0.79186,0.95592,0.7309,0.702,0.9359,0.57646,0.99993,0.99952,0.99998,2.23607,2.82843,11.35782
BraTS20_Training_334,0.93671,0.96192,0.90166,0.93281,0.97541,0.89545,0.99992,0.99909,0.99987,1.0,2.0,2.0
BraTS20_Training_335,0.0,0.91004,0.51289,0.0,0.85717,0.37631,0.99995,0.99959,0.99938,373.12866,5.09902,9.43398
BraTS20_Training_336,0.93944,0.96457,0.94547,0.92171,0.98058,0.97624,0.99985,0.99937,0.99932,1.0,1.41421,5.74456
BraTS20_Training_337,0.92151,0.94255,0.89277,0.92462,0.98442,0.97345,0.99974,0.99867,0.99884,1.0,2.23607,7.78443
BraTS20_Training_338,0.94554,0.92155,0.9336,0.92974,0.96793,0.96568,0.9998,0.99791,0.99926,1.0,3.74166,4.94949
BraTS20_Training_339,0.89901,0.90046,0.89298,0.89853,0.9109,0.97325,0.99956,0.99812,0.99851,2.0,5.74456,11.6619
BraTS20_Training_340,0.92802,0.9175,0.90061,0.90055,0.95099,0.96619,0.99986,0.99893,0.99904,1.0,22.82542,9.65365
BraTS20_Training_341,0.84419,0.78304,0.84638,0.73878,0.70882,0.7458,0.99999,0.99986,0.99999,2.23607,6.08276,2.44949
BraTS20_Training_342,0.7438,0.89056,0.89012,0.60414,0.88422,0.81678,0.99987,0.99826,0.99977,3.16228,4.3589,7.34847
