Label,Dice_ET,Dice_WT,Dice_TC,Sensitivity_ET,Sensitivity_WT,Sensitivity_TC,Specificity_ET,Specificity_WT,Specificity_TC,Hausdorff95_ET,Hausdorff95_WT,Hausdorff95_TC
BraTS20_Training_156,0.83806,0.87628,0.90176,0.85288,0.85691,0.89432,0.99944,0.99864,0.99952,1.73205,4.12311,4.69042
BraTS20_Training_157,0.86317,0.82681,0.89144,0.86898,0.77251,0.8965,0.99931,0.99899,0.99935,2.82843,5.0,3.0
BraTS20_Training_158,0.67571,0.72079,0.64327,0.59928,0.58347,0.6002,0.99997,0.99985,0.99994,3.16228,8.30662,4.96464
BraTS20_Training_159,0.52618,0.78174,0.80301,0.76479,0.68634,0.82803,0.99944,0.99981,0.99977,5.74456,10.19804,3.60555
BraTS20_Training_160,0.57249,0.90602,0.74875,0.57224,0.8431,0.6162,0.9984,0.99974,0.99972,5.09902,9.48683,8.06226
BraTS20_Training_161,0.71825,0.87321,0.8409,0.83796,0.90064,0.92274,0.99933,0.99902,0.9994,2.44949,4.47214,4.58258
BraTS20_Training_162,0.88208,0.92304,0.9235,0.86922,0.92421,0.91371,0.9996,0.99905,0.9997,2.23607,3.0,2.44949
BraTS20_Training_163,0.79944,0.94043,0.91558,0.82335,0.91356,0.90226,0.9988,0.99948,0.99945,2.82843,2.44949,3.0
BraTS20_Training_164,0.8775,0.7767,0.92904,0.89554,0.65607,0.92762,0.99929,0.99952,0.99956,2.23607,10.11921,2.23607
BraTS20_Training_165,0.85274,0.90731,0.89184,0.77943,0.9046,0.82551,0.9998,0.99854,0.99988,2.23607,3.16228,3.16228
BraTS20_Training_166,0.88295,0.91837,0.93602,0.82089,0.88014,0.91389,0.99978,0.99906,0.99973,2.0,3.16228,2.23607
BraTS20_Training_167,0.73087,0.87395,0.8226,0.80869,0.8152,0.7446,0.99922,0.99954,0.99981,5.38516,3.63958,5.09902
BraTS20_Training_168,0.78761,0.87388,0.8865,0.80868,0.84544,0.87787,0.99794,0.99833,0.99882,3.74166,6.48074,4.47214
BraTS20_Training_169,0.86493,0.88934,0.92195,0.95747,0.96999,0.98182,0.99924,0.99867,0.9994,2.23607,5.74456,2.23607
