Label,Dice_ET,Dice_WT,Dice_TC,Sensitivity_ET,Sensitivity_WT,Sensitivity_TC,Specificity_ET,Specificity_WT,Specificity_TC,Hausdorff95_ET,Hausdorff95_WT,Hausdorff95_TC
BraTS20_Training_278,0.0,0.89268,0.60312,0.0,0.91561,0.43238,1.0,0.99834,0.99999,373.12866,4.12311,10.67708
BraTS20_Training_279,0.0,0.95958,0.93232,0.0,0.93298,0.87561,0.99999,0.99978,0.99996,373.12866,3.0,3.0
BraTS20_Training_280,0.78121,0.92808,0.7237,0.9508,0.97546,0.93705,0.99996,0.99944,0.99994,1.74545,3.31662,2.82843
BraTS20_Training_281,1.0,0.93618,0.81126,1.0,0.92575,0.6998,1.0,0.99915,0.99994,0.0,3.0,3.74166
BraTS20_Training_282,0.85184,0.94541,0.83483,0.99548,0.98796,0.78008,0.99975,0.99902,0.99987,2.0,2.44949,2.44949
BraTS20_Training_283,0.85685,0.93779,0.8551,0.98883,0.93712,0.98889,0.9996,0.99968,0.99958,2.23607,2.0,2.44949
BraTS20_Training_284,0.74835,0.94647,0.91229,0.7973,0.91039,0.84335,0.99987,0.9997,0.99991,5.38516,3.0,4.12311
BraTS20_Training_285,0.83667,0.94295,0.90224,0.94168,0.92608,0.82624,0.99974,0.99951,0.99995,3.0,6.40312,3.60555
BraTS20_Training_286,0.0,0.82496,0.75359,0.0,0.71196,0.60527,1.0,0.99996,1.0,373.12866,9.08566,4.47214
BraTS20_Training_287,0.95036,0.96381,0.93429,0.97829,0.96601,0.93565,0.99975,0.99979,0.99978,1.41421,1.41421,2.23607
BraTS20_Training_288,0.89922,0.92868,0.8576,0.93601,0.90669,0.77191,0.9997,0.9996,0.99988,1.0,3.0,5.09902
BraTS20_Training_289,0.0,0.96786,0.64465,0.0,0.96093,0.47875,1.0,0.99946,0.99997,373.12866,1.41421,14.98165
BraTS20_Training_290,0.77261,0.92041,0.8718,0.99559,0.90988,0.88214,0.99973,0.9983,0.9999,4.0,3.60555,2.44949
BraTS20_Training_291,0.30443,0.94412,0.73575,0.62698,0.89679,0.59127,0.99996,0.99993,0.9999,22.23033,2.23607,9.48683
BraTS20_Training_292,0.77938,0.94245,0.82623,0.86999,0.92367,0.72348,0.99985,0.99968,0.99983,7.03553,2.23607,6.16441
BraTS20_Training_293,0.90752,0.92084,0.83228,0.963,0.88299,0.7197,0.9993,0.9988,0.99987,1.41421,4.0,4.3589
BraTS20_Training_294,0.0,0.92022,0.43557,0.0,0.86858,0.27981,1.0,0.99982,0.99998,373.12866,3.60555,10.63015
BraTS20_Training_295,0.42171,0.9147,0.70334,0.45753,0.92018,0.6003,0.99996,0.99974,0.99987,8.63089,2.23607,5.38516
BraTS20_Training_296,0.70502,0.97071,0.74904,0.96687,0.98576,0.60802,0.9985,0.99916,0.99984,3.31662,1.41421,10.04988
BraTS20_Training_297,0.0,0.84954,0.39627,0.0,0.80054,0.24769,0.99999,0.99929,0.99999,373.12866,3.74166,10.67708
BraTS20_Training_298,0.47692,0.86519,0.18493,0.65957,0.81814,0.1045,0.99999,0.99962,0.99996,12.87543,4.24264,15.0
